GuidelineID,RuleID,Section,Paragraph,Version,EffectiveDate
GUIDE_00001,AML_01819,Risk Assessment,"As part of risk-based customer due diligence, Customers with incomplete documentation must be placed under manual review.. Appropriate documentation should be maintained for audit purposes.",v1.0,08-01-2023
GUIDE_00002,AML_00964,Customer Due Diligence,Financial institutions are required to comply with the following regulation: Customers from high-risk countries require additional verification.. Failure to comply may result in regulatory penalties.,v4.0,31-05-2025
GUIDE_00003,AML_02004,Customer Identification,Banks must implement procedures ensuring that Beneficial ownership verification is required for business accounts.. Supporting evidence should be retained throughout the customer lifecycle.,v3.0,10-06-2026
GUIDE_00004,AML_01055,Sanctions Screening,Banks must implement procedures ensuring that Customers from North Korea must undergo enhanced verification.. Supporting evidence should be retained throughout the customer lifecycle.,v4.0,20-06-2024
GUIDE_00005,AML_01241,Risk Assessment,"According to AML and KYC regulations, Beneficial ownership verification is required for business accounts.. Compliance teams must ensure this requirement is satisfied before customer onboarding.",v1.0,23-02-2026
GUIDE_00006,AML_00087,Account Opening,"According to AML and KYC regulations, Suspicious activity reports must be filed for unusual behavior.. Compliance teams must ensure this requirement is satisfied before customer onboarding.",v5.0,15-09-2025
GUIDE_00007,AML_00139,Customer Identification,"As part of risk-based customer due diligence, Customers appearing on sanctions lists must be rejected immediately.. Appropriate documentation should be maintained for audit purposes.",v1.0,24-03-2025
GUIDE_00008,AML_01515,Risk Assessment,"According to AML and KYC regulations, Address proof must be verified during onboarding.. Compliance teams must ensure this requirement is satisfied before customer onboarding.",v4.0,18-08-2021
GUIDE_00009,AML_00552,Enhanced Due Diligence,"According to AML and KYC regulations, Customers with incomplete documentation must be placed under manual review.. Compliance teams must ensure this requirement is satisfied before customer onboarding.",v3.0,19-02-2024
GUIDE_00010,AML_02761,Customer Identification,Banks must implement procedures ensuring that Beneficial ownership verification is required for business accounts.. Supporting evidence should be retained throughout the customer lifecycle.,v4.0,11-01-2024
GUIDE_00011,AML_02513,Account Opening,Regulatory guidance states that Beneficial ownership verification is required for business accounts.. This control helps reduce money laundering and terrorist financing risks.,v2.0,26-09-2021
GUIDE_00012,AML_01741,Account Opening,Regulatory guidance states that Customers with incomplete documentation must be placed under manual review.. This control helps reduce money laundering and terrorist financing risks.,v3.0,30-03-2025
GUIDE_00013,AML_00441,Customer Identification,Banks must implement procedures ensuring that Transactions inconsistent with customer profile should trigger AML review.. Supporting evidence should be retained throughout the customer lifecycle.,v4.0,04-10-2024
GUIDE_00014,AML_00855,Sanctions Screening,Banks must implement procedures ensuring that Customers from high-risk countries require additional verification.. Supporting evidence should be retained throughout the customer lifecycle.,v3.0,28-05-2026
GUIDE_00015,AML_01596,Account Opening,Banks must implement procedures ensuring that Transactions inconsistent with customer profile should trigger AML review.. Supporting evidence should be retained throughout the customer lifecycle.,v5.0,14-09-2022
GUIDE_00016,AML_02088,Enhanced Due Diligence,"According to AML and KYC regulations, Identity verification must be completed before account activation.. Compliance teams must ensure this requirement is satisfied before customer onboarding.",v3.0,03-02-2025
GUIDE_00017,AML_00778,Customer Due Diligence,Regulatory guidance states that Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).. This control helps reduce money laundering and terrorist financing risks.,v5.0,17-01-2022
GUIDE_00018,AML_00955,Customer Identification,Banks must implement procedures ensuring that Customers with incomplete documentation must be placed under manual review.. Supporting evidence should be retained throughout the customer lifecycle.,v4.0,13-09-2021
GUIDE_00019,AML_00244,Enhanced Due Diligence,"As part of risk-based customer due diligence, Identity verification must be completed before account activation.. Appropriate documentation should be maintained for audit purposes.",v4.0,01-08-2022
GUIDE_00020,AML_01097,Customer Due Diligence,Banks must implement procedures ensuring that Customers with incomplete documentation must be placed under manual review.. Supporting evidence should be retained throughout the customer lifecycle.,v5.0,20-04-2023
