RuleID,RuleTitle,RuleCategory,RuleText,Country,Priority,Version
AML_00001,EDD Rule 1,EDD,Beneficial ownership verification is required for business accounts.,UK,Critical,v1.0
AML_00002,ONBOARDING Rule 2,ONBOARDING,Customers with incomplete documentation must be placed under manual review.,USA,Medium,v5.0
AML_00003,COUNTRY_RISK Rule 3,COUNTRY_RISK,Customers from Iran must undergo enhanced verification.,UK,Medium,v5.0
AML_00004,ONBOARDING Rule 4,ONBOARDING,Suspicious activity reports must be filed for unusual behavior.,Global,Low,v1.0
AML_00005,SANCTION Rule 5,SANCTION,Beneficial ownership verification is required for business accounts.,Global,Medium,v3.0
AML_00006,EDD Rule 6,EDD,Address proof must be verified during onboarding.,UK,Low,v4.0
AML_00007,COUNTRY_RISK Rule 7,COUNTRY_RISK,Customers from Myanmar must undergo enhanced verification.,USA,Critical,v2.0
AML_00008,ONBOARDING Rule 8,ONBOARDING,Beneficial ownership verification is required for business accounts.,UK,Critical,v1.0
AML_00009,COUNTRY_RISK Rule 9,COUNTRY_RISK,Customers from Myanmar must undergo enhanced verification.,India,Low,v5.0
AML_00010,SANCTION Rule 10,SANCTION,Customers appearing on sanctions lists must be rejected immediately.,India,High,v5.0
AML_00011,CDD Rule 11,CDD,Identity verification must be completed before account activation.,Global,Critical,v1.0
AML_00012,CDD Rule 12,CDD,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,UK,Low,v1.0
AML_00013,ONBOARDING Rule 13,ONBOARDING,Customers from high-risk countries require additional verification.,UK,High,v3.0
AML_00014,COUNTRY_RISK Rule 14,COUNTRY_RISK,Customers from Afghanistan must undergo enhanced verification.,India,High,v1.0
AML_00015,ONBOARDING Rule 15,ONBOARDING,Transactions inconsistent with customer profile should trigger AML review.,India,Medium,v3.0
AML_00016,COUNTRY_RISK Rule 16,COUNTRY_RISK,Customers from Afghanistan must undergo enhanced verification.,India,Critical,v4.0
AML_00017,COUNTRY_RISK Rule 17,COUNTRY_RISK,Customers from Myanmar must undergo enhanced verification.,Global,Critical,v5.0
AML_00018,ONBOARDING Rule 18,ONBOARDING,Identity verification must be completed before account activation.,Global,Critical,v4.0
AML_00019,EDD Rule 19,EDD,Customers with incomplete documentation must be placed under manual review.,Global,Critical,v2.0
AML_00020,EDD Rule 20,EDD,Identity verification must be completed before account activation.,India,Critical,v1.0
AML_00021,AML Rule 21,AML,Beneficial ownership verification is required for business accounts.,UK,Low,v4.0
AML_00022,EDD Rule 22,EDD,Customers appearing on sanctions lists must be rejected immediately.,Global,Critical,v1.0
AML_00023,CDD Rule 23,CDD,Customers appearing on sanctions lists must be rejected immediately.,USA,High,v1.0
AML_00024,AML Rule 24,AML,Customers from high-risk countries require additional verification.,Global,Medium,v5.0
AML_00025,CDD Rule 25,CDD,Identity verification must be completed before account activation.,India,High,v2.0
AML_00026,AML Rule 26,AML,Source of funds verification is mandatory for high-value customers.,India,Low,v3.0
AML_00027,SANCTION Rule 27,SANCTION,Customers with incomplete documentation must be placed under manual review.,India,Medium,v5.0
AML_00028,EDD Rule 28,EDD,Suspicious activity reports must be filed for unusual behavior.,USA,High,v4.0
AML_00029,EDD Rule 29,EDD,Customers with incomplete documentation must be placed under manual review.,India,High,v3.0
AML_00030,AML Rule 30,AML,Address proof must be verified during onboarding.,USA,Medium,v1.0
AML_00031,PEP Rule 31,PEP,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,India,Low,v5.0
AML_00032,PEP Rule 32,PEP,Identity verification must be completed before account activation.,USA,Low,v5.0
AML_00033,AML Rule 33,AML,Politically Exposed Persons (PEPs) must undergo Enhanced Due Diligence (EDD).,USA,High,v1.0
AML_00034,AML Rule 34,AML,Beneficial ownership verification is required for business accounts.,UK,Critical,v3.0
AML_00035,AML Rule 35,AML,Suspicious activity reports must be filed for unusual behavior.,India,Low,v3.0
AML_00036,ONBOARDING Rule 36,ONBOARDING,Customers with incomplete documentation must be placed under manual review.,UK,Low,v2.0
AML_00037,PEP Rule 37,PEP,Customers from high-risk countries require additional verification.,UK,Medium,v4.0
AML_00038,EDD Rule 38,EDD,Customers from high-risk countries require additional verification.,India,Low,v3.0
AML_00039,COUNTRY_RISK Rule 39,COUNTRY_RISK,Customers from Syria must undergo enhanced verification.,UK,Medium,v2.0
AML_00040,COUNTRY_RISK Rule 40,COUNTRY_RISK,Customers from Iran must undergo enhanced verification.,UK,Medium,v2.0
AML_00041,PEP Rule 41,PEP,Beneficial ownership verification is required for business accounts.,India,Low,v3.0
AML_00042,SANCTION Rule 42,SANCTION,Beneficial ownership verification is required for business accounts.,USA,Critical,v1.0
AML_00043,COUNTRY_RISK Rule 43,COUNTRY_RISK,Customers from Syria must undergo enhanced verification.,Global,Low,v1.0
